user_id,event_date,registration_channel,kyc_level,inviter_risk_score,kyc_country_risk,age_risk_score,occupation_risk_score,nationality_risk_score,address_risk_score,kyc_duration_minutes,minutes_kyc_to_first_fiat_deposit,minutes_deposit_to_first_chain_out,fiat_deposit_amount_24h,fiat_deposit_count_24h,fiat_withdraw_amount_24h,fiat_withdraw_count_24h,chain_in_amount_24h,chain_out_amount_24h,chain_withdraw_count_24h,spot_trade_amount_24h,spot_trade_count_24h,trade_pair_count_30d,convert_amount_24h,convert_count_24h,minutes_fiat_in_to_convert,minutes_convert_to_chain_out,fiat_in_crypto_out_ratio,fund_stay_minutes_median,unique_deposit_bankcards_30d,unique_withdraw_bankcards_30d,bank_fraud_ratio_max,new_bankcard_flag,bank_name_mismatch_flag,single_fiat_deposit_over_10000_cnt_30d,small_fiat_deposit_count_24h,amount_roundness_score,new_device_flag,device_user_count_24h,device_user_count_30d,login_ip_count_24h,ip_user_count_24h,proxy_flag,emulator_flag,geo_velocity_kmh,failed_login_count_1h,failed_login_count_24h,recent_password_change_flag,phone_change_7d_flag,email_change_7d_flag,new_withdraw_address_flag,address_similarity_cluster_size,api_permission_risk,high_risk_chain_exposure,sanctioned_address_flag,mixer_exposure,gambling_exposure,source_hop_distance,internal_transfer_amount_24h,internal_transfer_count_24h,fan_in_degree_24h,fan_out_degree_24h,counterparty_fraud_ratio,wash_trade_similarity,cancel_ratio_1h,campaign_task_similarity,inviter_cluster_size,reward_address_cluster_size,campaign_history_abuse_count,email_similarity_cluster_size,kyc_document_similarity_count,kyc_device_user_count,declared_monthly_income_usdt,expected_monthly_volume_usdt,observed_to_expected_volume_ratio,document_ocr_confidence,face_match_score,liveness_score,identity_field_mismatch_flag,pep_flag,sanctions_screening_hit,source_of_funds_risk,behavior_event_count_30d,behavior_event_diversity_30d,behavior_success_ratio_30d,api_activity_ratio_30d,night_activity_ratio_30d,strategy_avoidance_ratio_30d,chain_out_5min_count_30d,register_ip_country_risk,risk_score_t1,risk_level_change_30d,strategy_hit_count_30d,rfi_count_180d,restriction_count_180d,fraud_label,estimated_loss_amount,latent_rapid_cashout,latent_ato,latent_campaign,latent_aml,latent_graph_ring
U0002554,2026-01-01,Web,L1,0.01420899123620641,0.42771895054567405,0.3070874940777232,0.757284960294986,0.42771895054567405,0.4779510823774211,111.7907958157932,3878.7684923161464,1782.6605821463027,605.174884043128,0,109.50639015639601,1,3117.1605319521395,251.6234167670842,1,569.5669563124499,3,5,266.7600981779097,0,1246.7257489342162,512.6632155325717,0.41578628492644476,1413.4664667384725,3,1,0.14485404749375255,0,0,0,0,0.42911834845759284,0,1,2,1,3,0,0,37.97780507080618,0,0,0,0,0,0,2,0.07130284818332863,0.45119790172720503,0,0.31955430423888626,0.24968679862417203,4,227.0859455572877,1,0,1,0.08710028843400205,0.10169440695416167,0.20936547309736372,0.23610109769875434,1,2,0,1,0,1,1009.1341042581568,915.7693113989613,1.0551835259585707,0.8249029387770747,1.0,0.9445864522634587,0,0,0,0.5022203307236311,39,6,0.7975500929583748,0.4659360604570514,0.21695969260669914,0.3956162709136239,1,0.34923786437404297,0.42089366183898624,0,0,0,0,0,209.6136496048734,0,0,0,1,0
U0001691,2026-01-01,Android,L2,0.11692025159454449,0.1543739139454896,0.1753796830689023,0.1608916093960342,0.1543739139454896,0.09360222565657965,127.92027530598335,1867.3754077391072,753.7943056083327,1310.9713739276212,1,178.40796138569328,0,310.7895691255669,131.66738990224604,0,1126.7600855387118,7,6,152.23445898091296,0,52.53655071929954,461.01148702692825,0.10043498471501744,505.79994220474015,1,1,0.10119783740934712,0,0,0,0,0.3705023687425062,0,1,2,1,2,0,0,0.560712974362027,0,0,0,0,0,0,1,0.01911950313314198,0.27508265444002955,0,0.004362755150642323,0.012710850076252809,4,197.1885211102814,0,1,0,0.018182227547716315,0.004513471632374556,0.3660398682845942,0.07070162513706621,1,1,0,1,0,1,649.4889356335862,2403.251284266314,0.6745223588678734,0.908231178140629,0.9532838538221066,0.911160354908446,0,0,0,0.08691395872942816,31,4,0.7713745256096445,0.05782342256689189,0.04729160989570738,0.11107765416225675,0,0.03960970577624276,0.18657744917835486,0,0,0,0,0,30.098274814492342,0,0,0,0,0
U0002729,2026-01-01,iOS,L2,0.05852857504969443,0.01949356145772738,0.36538729885216853,0.17438576064666345,0.01949356145772738,0.051945669779645334,38.37457957496862,1635.4572068699156,415.72855655513035,1381.2897269760654,0,94.45351068118639,0,142.00629527181925,131.44168144264373,1,1102.229767874715,6,4,845.1919155897874,0,349.6569902163327,214.44587824072457,0.09515866141305293,254.22074096905118,1,1,0.050833764433760066,1,0,0,0,0.24992694043613023,0,1,1,2,1,0,0,72.73814687261446,0,0,0,0,0,0,1,0.519904061119765,0.00046574253038444806,0,0.07032535993502123,0.04414236116969545,4,1441.7702060949034,2,1,0,0.03721652682709251,0.2268321399955526,0.4211054355881337,0.26495387059300635,2,1,0,1,0,1,1228.014822612604,2219.5175062061057,0.7241145494937364,0.9412807052514137,0.9995016509338284,0.9326089499566038,0,0,0,0.2679718152640933,30,12,0.6655004321320888,0.11792162081562434,0.07027805582822655,0.1952271335206881,0,0.1390828726160842,0.21222437508510283,0,0,0,0,0,72.99079628913466,0,0,0,0,0
U0001794,2026-01-01,Android,L1,0.13457532471659184,0.09203446335111999,0.14890214465404839,0.04264085111128377,0.09203446335111999,0.3189092951661375,39.88672694690372,2964.394029444208,11124.621703084571,1110.5282294079916,0,230.72941350963666,1,128.5769424989652,373.1428270280092,1,712.3855894546626,2,5,556.1022177705576,0,1504.895860149804,897.9882863758833,0.33600481027567114,11239.101547313623,1,1,0.10791421130464184,0,0,0,0,0.15837084943631002,0,2,2,2,1,0,0,12.198924768977935,0,0,0,0,0,0,1,0.22078646994913723,0.02072870906762104,0,0.0005858984020553027,0.04925618949590408,5,230.21232826429275,0,0,2,0.026906936385515324,0.01701786160677869,0.20495063331469382,0.06935555121932216,2,1,0,1,0,2,4390.999619922627,12951.664447841165,0.13236912343196172,1.0,0.9386629591007002,1.0,0,0,0,0.05747062428926574,25,6,0.9608181010960681,0.009139833020734843,0.3667953009947343,0.05844896516915885,0,0.052771277736721946,0.30125743820560646,2,6,1,1,1,2788.926136504762,0,0,0,0,0
U0001846,2026-01-01,Android,L2,0.2175609489237691,0.4146089623067233,0.772353763922212,0.33448013959488865,0.4146089623067233,0.32767965386827624,38.82986340101626,2008.868574595476,3865.1418127288766,2030.5988452843737,1,799.3194273446255,1,298.6004368723498,1903.9594439558366,2,1977.9257871801487,4,5,846.820919093171,1,273.8391168149923,289.1777495761607,0.9376344561494114,2647.72641937439,1,1,0.054745722871077394,0,0,0,0,0.6140360907839463,0,1,1,1,1,0,0,55.44824100659909,0,2,0,0,0,0,1,0.03829573747078813,0.6218124820173581,0,0.31276431543399086,0.2467025331186924,2,523.9892688306546,3,2,0,0.03451980094910093,0.13767136316421802,0.2715107593853624,0.0794017066187794,1,2,1,1,0,1,3037.782498508027,10248.812209898077,0.46189525377516055,0.9015996414176823,0.9361452176070129,0.9465017244586017,0,0,0,0.47756109312260503,35,3,0.5238888655787454,0.28327840420720934,0.07860483689484327,0.5037597731901287,0,0.03017153271676691,0.49623558510147825,0,0,0,0,0,306.8311927773147,0,0,0,1,0
U0000105,2026-01-01,Web,L2,0.04923829963328261,0.17322073049168965,0.3408115760215752,0.07591291806922902,0.17322073049168965,0.30690434303670416,41.7458823408484,1909.6515376873365,761.1398696271558,79.13410310760396,2,9.94900967592962,1,733.0155147825567,64.95875434193978,1,69.8578533478423,7,2,6.1071138602633726,2,309.4093216705351,522.0179654615789,0.820869281270693,463.5390759188235,1,1,0.021478446870511748,0,0,0,0,0.1406746372557758,1,1,1,1,1,0,0,63.41784247673129,0,2,0,0,0,0,1,0.30190323782698686,0.01470519367566291,0,0.0031983048298138517,0.023811148623828774,6,483.9841299059183,0,1,2,0.006387260223333459,0.09474018191324178,0.23175883103006253,0.12032685548700581,2,1,0,1,0,1,4451.016504943576,10272.674118404178,0.014995303593783543,0.8990259948889024,0.9480429278706649,0.9719745890524836,0,0,0,0.0715003352661492,27,6,0.6929298637297883,0.23629521036984644,0.2883002172984904,0.08009245386726867,0,0.013669284829292803,0.45582026879296333,0,0,0,0,0,88.43682573702789,0,0,0,0,0
U0000348,2026-01-01,iOS,L2,0.09576346953834684,0.05420883419445875,0.29929883558137504,0.38009495141940536,0.05420883419445875,0.0944607474198021,100.42287387990885,377.3028962978654,830.6235343031435,1987.7773814449747,1,275.6952284030401,0,251.48134313031397,227.37898741281592,0,1574.7153257296097,6,2,454.90277378219696,0,1430.8563053332268,250.97877689124678,0.1143885575594624,844.4633418624558,1,1,0.010048276057976032,0,0,0,0,0.12419744601174561,0,1,2,2,1,0,0,8.839547754710393,0,1,0,0,0,0,1,0.20327074210406149,0.13174919552209116,0,0.04998996771684931,0.037554981336890406,9,408.41405399766256,0,3,0,0.09728287782290898,0.007799270744382938,0.15650758739601,0.1780036803274207,1,1,0,2,0,1,1375.4287082679223,3334.877834264472,0.7469093984998116,0.9628649040461538,0.8855763484248385,0.9602520997190385,0,0,0,0.1510502550330068,24,9,0.8655352084497687,0.06784020517434526,0.0787214766851692,0.16182907793325746,0,0.2890432604824891,0.2015367764357078,1,0,0,0,0,23.767970062795534,0,0,0,0,0
U0005882,2026-01-01,iOS,L2,0.04064059406141272,0.10642095396966451,0.5295189385347746,0.4029316634254517,0.10642095396966451,0.3562894058269826,53.174307799075876,1407.5481985578363,1110.504497946177,479.3647082939394,0,22.402756760084632,0,574.9676773415259,67.08507680525413,0,444.84027944060136,3,7,279.3588387655691,2,192.94507335820145,62.18314633293198,0.13994579835468102,1350.7361073964619,1,1,0.04988085603208853,0,0,0,1,0.19573517648731922,0,1,2,1,1,1,0,15.01138225831202,0,0,0,0,0,0,1,0.09049252529430851,0.027395412699142193,0,0.019745547826856804,0.06672196589244095,7,497.6179033763463,0,1,0,0.06049304454921802,0.10369297417467406,0.11952477505467227,0.048665929063563644,5,2,0,1,0,1,4400.804615434285,6578.839287842436,0.08646700686403852,0.9017122503892191,0.9370705308318649,0.9665783883277975,0,0,0,0.04431190512735931,26,4,0.9748405402305866,0.18226754524303546,0.016127200193790433,0.0900304359457012,0,0.073488994299245,0.49642301730715077,0,0,0,0,0,88.55488334661942,0,0,0,0,0
U0005095,2026-01-01,Web,L2,0.052983732776282405,0.09559994476903007,0.1305569590596467,0.5141909493928681,0.09559994476903007,0.2723650387770686,50.688917134384226,7305.36579783245,184.66766917934092,891.975806625338,3,474.86607498987684,2,218.83561220819192,518.4647442445092,2,1019.2974697343425,8,6,308.8604818944869,3,244.90427291219805,125.55315139943468,0.5812542676533413,250.44154214881326,1,1,0.2344686332820844,0,1,0,0,0.2899917046056006,0,2,5,1,1,1,0,84.30521109068613,0,0,0,0,0,0,1,0.22703675379494825,0.04297837323294512,0,0.013974022206881731,1.1545393326494754e-05,5,185.38437532006427,2,1,0,0.023659079727685616,0.011294873398490762,0.13825950562177,0.07508356123733155,1,1,0,1,0,1,2889.490301209669,2666.218502648877,0.7071088224714815,0.9034486436091871,0.9459885852164125,0.9830861853256749,0,0,0,0.027905930696451028,23,3,0.8974209829918302,0.029111347839426305,0.20536234121134195,0.1474958046794251,0,0.5493706685245253,0.5306772645684447,0,0,0,0,0,40.09306823590229,0,0,0,0,0
U0003653,2026-01-01,iOS,L2,0.05626772345379248,0.10090205989687612,0.4879049920038015,0.05929445099634736,0.10090205989687612,0.06278498366184312,35.119427874087236,5842.28525746062,1849.4225594252678,3839.028432945267,0,947.0157865063219,0,1633.8008771046,2364.4994788640324,0,4626.414623264532,6,3,629.6929683815791,0,251.92570758779615,123.50682155461995,0.6159109056272372,2127.7930516642664,1,1,0.1373338270531937,0,0,0,0,0.09295457614720788,0,1,2,1,1,0,0,32.73483156654412,0,0,0,0,0,0,1,0.10408914534107133,0.1101988814609961,0,0.004650244150018446,0.002863970694850619,4,48.51662727018894,0,1,1,0.1006297994630992,0.00875565913529636,0.167454947522633,0.13802592344049833,2,1,0,1,0,1,4260.030597963006,14520.898142118758,0.4924312276232439,0.9601694936121763,0.9300749040843717,0.894709143298286,0,0,0,0.40711719393718154,15,7,0.9236299875462771,0.028026801308946494,0.24917889563388343,0.04721032497579719,0,0.24438238432126652,0.2644387739276153,1,0,0,0,0,139.18838395799318,0,0,0,0,0
