development_rank,strategy_id,name,source,action,expression,selected,development_precision,development_recall,development_f1,development_alert_rate,development_reward,development_relative_advantage,reward,relative_advantage,alerts,alert_rate,precision,recall,f1,fpr,lift,captured_loss_rate,oot_reward_reporting_only
1,MDL-xgboost,xgboost模型分层,model_score,MANUAL_REVIEW,model_score__xgboost >= 0.9,False,0.813953488372093,0.6086956521739131,0.6965174129353234,0.043,0.7548555689362222,1.4820619550714402,0.7548555689362222,1.4820619550714402,100,0.05,0.86,0.5972222222222222,0.7049180327868853,0.007543103448275862,11.944444444444445,0.6119792954145085,0.7655499009605145
2,MDL-logistic_regression,logistic_regression模型分层,model_score,MANUAL_REVIEW,model_score__logistic_regression >= 0.9,False,0.7033898305084746,0.7217391304347827,0.7124463519313304,0.059,0.7484097413905554,1.4571520991496447,0.7484097413905554,1.4571520991496447,150,0.075,0.68,0.7083333333333334,0.6938775510204082,0.02586206896551724,9.444444444444446,0.7003773956677714,0.6923368511304907
3,TREE-ChainWithdraw-01,Decision Tree候选规则 1,tree,MANUAL_REVIEW,behavior_event_count_30d > 30.5 AND strong_relation_fraud_1hop_count > 0.5 AND strategy_avoidance_ratio_30d > 0.302633 AND behavior_event_count_30d > 42.5,True,0.8732394366197183,0.5391304347826087,0.6666666666666666,0.0355,0.7321313108616115,1.394244217076141,0.7321313108616115,1.394244217076141,81,0.0405,0.8641975308641975,0.4861111111111111,0.6222222222222222,0.005926724137931034,12.002743484224967,0.5214790341032601,0.708605735461994
4,MDL-decision_tree_depth4,decision_tree_depth4模型分层,model_score,MANUAL_REVIEW,model_score__decision_tree_depth4 >= 0.9,False,0.6275862068965518,0.7913043478260869,0.7,0.0725,0.7174403509510511,1.3374711042163432,0.7174403509510511,1.3374711042163432,179,0.0895,0.5865921787709497,0.7291666666666666,0.6501547987616099,0.03987068965517242,8.147113594040968,0.7502902949206354,0.6336290376146858
5,GRF-02,二跳关联叠加快进快出,graph,MANUAL_REVIEW,fraud_2hop_count >= 2 AND fiat_in_crypto_out_ratio >= 0.75 AND minutes_deposit_to_first_chain_out < 720,False,0.6304347826086957,0.5043478260869565,0.5603864734299517,0.046,0.6371984030378091,1.0273766520700427,0.6371984030378091,1.0273766520700427,101,0.0505,0.6534653465346535,0.4583333333333333,0.5387755102040817,0.018857758620689655,9.075907590759076,0.5239207791105852,0.627342279410324
6,AIP-01,AI建议：快进快出与高风险银行组合,ai_planner,MANUAL_REVIEW,fiat_in_crypto_out_ratio >= 0.5669626510377861 AND minutes_deposit_to_first_chain_out <= 552.1467541396314 AND bank_fraud_ratio_max >= 0.22493574038617029,False,0.5663716814159292,0.5565217391304348,0.5614035087719298,0.0565,0.619792178901487,0.9601104194092356,0.619792178901487,0.9601104194092356,115,0.0575,0.6260869565217392,0.5,0.555984555984556,0.023168103448275863,8.695652173913045,0.5537595563238427,0.6214270670380565
7,TPL-rapid_cashout_high_precision,快进快出高精度组合,expert,RFI,fiat_in_crypto_out_ratio >= 0.85 AND minutes_deposit_to_first_chain_out < 240 AND (withdraw_address_fraud_1hop_count >= 1 OR device_fraud_1hop_count >= 1 OR high_risk_chain_exposure >= 0.2),False,0.9142857142857143,0.2782608695652174,0.4266666666666667,0.0175,0.5894657827640613,0.8429142715044713,0.5894657827640613,0.8429142715044713,31,0.0155,1.0,0.2152777777777778,0.35428571428571426,0.0,13.88888888888889,0.22928790325415607,0.5759706280895889
8,TPL-rapid_cashout_recall,快进快出召回型规则,expert,MANUAL_REVIEW,minutes_deposit_to_first_chain_out < 720 AND chain_withdraw_count_24h >= 2 AND fiat_in_crypto_out_ratio >= 0.65,False,0.5210084033613446,0.5391304347826087,0.5299145299145299,0.0595,0.5862733059966145,0.8305769671401562,0.5862733059966145,0.8305769671401562,115,0.0575,0.6,0.4791666666666667,0.5328185328185329,0.02478448275862069,8.333333333333334,0.5510097574448493,0.6020573439256898
9,AIP-02,AI建议：Risk Graph强关系叠加资金闭环,ai_planner,MANUAL_REVIEW,strong_relation_fraud_1hop_count >= 1 AND fiat_in_crypto_out_ratio >= 0.4983499952089292,False,0.44871794871794873,0.6086956521739131,0.5166051660516605,0.078,0.5539802497529331,0.7057806748711659,0.5539802497529331,0.7057806748711659,178,0.089,0.47191011235955055,0.5833333333333334,0.5217391304347826,0.05064655172413793,6.554307116104869,0.6704622236044835,0.5343541785601397
10,QTL-behavior_event_count_30d-02,behavior_event_count_30d分位阈值规则,quantile,MANUAL_REVIEW,behavior_event_count_30d >= 38.0,False,0.4075829383886256,0.7478260869565218,0.5276073619631901,0.1055,0.5195648449995993,0.5727825814809496,0.5195648449995993,0.5727825814809496,238,0.119,0.4117647058823529,0.6805555555555556,0.5130890052356021,0.07543103448275862,5.718954248366013,0.712980697398441,0.46678136366040124
11,QTL-strategy_avoidance_ratio_30d-07,strategy_avoidance_ratio_30d分位阈值规则,quantile,MANUAL_REVIEW,strategy_avoidance_ratio_30d >= 0.37295090657799684,False,0.4,0.6956521739130435,0.5079365079365079,0.1,0.500571186432454,0.4993817194530123,0.500571186432454,0.4993817194530123,199,0.0995,0.4623115577889447,0.6388888888888888,0.5364431486880467,0.05765086206896552,6.420993858179789,0.6868611518579496,0.5229787898409065
12,QTL-bank_fraud_ratio_max-13,bank_fraud_ratio_max分位阈值规则,quantile,MANUAL_REVIEW,bank_fraud_ratio_max >= 0.3372161901059883,False,0.38,0.6608695652173913,0.48253968253968255,0.1,0.48218171299501655,0.42831572667568524,0.48218171299501655,0.42831572667568524,203,0.1015,0.42857142857142855,0.6041666666666666,0.5014409221902018,0.0625,5.9523809523809526,0.6940654337843202,0.4951331929336064
13,QTL-fiat_in_crypto_out_ratio-11,fiat_in_crypto_out_ratio分位阈值规则,quantile,MANUAL_REVIEW,fiat_in_crypto_out_ratio >= 0.6873892736525148,False,0.38,0.6608695652173913,0.48253968253968255,0.1,0.47759993698500325,0.4106094850074459,0.47759993698500325,0.4106094850074459,227,0.1135,0.3788546255506608,0.5972222222222222,0.4636118598382749,0.07596982758620689,5.261869799314733,0.6993952701128163,0.44339062860685896
14,QTL-fraud_graph_score-04,fraud_graph_score分位阈值规则,quantile,MANUAL_REVIEW,fraud_graph_score >= 0.9850044231795223,False,0.35121951219512193,0.6260869565217392,0.45,0.1025,0.46121914164567934,0.3473060148329631,0.46121914164567934,0.3473060148329631,236,0.118,0.3983050847457627,0.6527777777777778,0.49473684210526314,0.07650862068965517,5.532015065913371,0.7150058789488588,0.4566442947457397
15,GRF-03,图社区风险叠加资金归集,graph,MANUAL_REVIEW,community_fraud_ratio >= 0.2 AND fan_in_degree_24h >= 5,False,1.0,0.008695652173913044,0.017241379310344827,0.0005,0.44510764467494046,0.2850432463393586,0.44510764467494046,0.2850432463393586,4,0.002,0.5,0.013888888888888888,0.02702702702702703,0.0010775862068965517,6.944444444444445,0.03120316084095282,0.29572491486083985
16,QTL-community_fraud_ratio-09,community_fraud_ratio分位阈值规则,quantile,MANUAL_REVIEW,community_fraud_ratio >= 0.1111111111111111,False,0.3080568720379147,0.5652173913043478,0.3987730061349693,0.1055,0.40561392929566165,0.1324200566954499,0.40561392929566165,0.1324200566954499,254,0.127,0.3110236220472441,0.5486111111111112,0.3969849246231156,0.09428879310344827,4.319772528433946,0.5782702275132765,0.3516492117105714
17,TREE-ChainWithdraw-03,Decision Tree候选规则 3,tree,MANUAL_REVIEW,behavior_event_count_30d > 30.5 AND strong_relation_fraud_1hop_count > 0.5 AND strategy_avoidance_ratio_30d <= 0.302633 AND fraud_graph_score > 0.975246,False,0.5294117647058824,0.0782608695652174,0.13636363636363635,0.0085,0.3745670996193919,0.012439798367827827,0.3745670996193919,0.012439798367827827,28,0.014,0.39285714285714285,0.0763888888888889,0.12790697674418605,0.009159482758620689,5.4563492063492065,0.04430583593584247,0.3324897611405656
18,TREE-ChainWithdraw-04,Decision Tree候选规则 4,tree,MANUAL_REVIEW,behavior_event_count_30d > 30.5 AND strong_relation_fraud_1hop_count > 0.5 AND strategy_avoidance_ratio_30d > 0.302633 AND behavior_event_count_30d <= 42.5,False,0.6,0.0782608695652174,0.13846153846153847,0.0075,0.37047665839062044,-0.003367683440115654,0.37047665839062044,-0.003367683440115654,21,0.0105,0.5714285714285714,0.08333333333333333,0.14545454545454545,0.004849137931034483,7.936507936507937,0.10095974876653824,0.3959217023007848
19,TREE-ChainWithdraw-02,Decision Tree候选规则 2,tree,MANUAL_REVIEW,behavior_event_count_30d <= 30.5 AND fraud_graph_score > 0.983002 AND strong_relation_fraud_1hop_count > 2.5 AND direct_related_user_count > 16.5,False,0.625,0.043478260869565216,0.08130081300813008,0.004,0.361342602639041,-0.038666178651401116,0.361342602639041,-0.038666178651401116,19,0.0095,0.3684210526315789,0.04861111111111111,0.08588957055214724,0.00646551724137931,5.116959064327485,0.042440858515217644,0.3079639924173321
20,TREE-ChainWithdraw-08,Decision Tree候选规则 8,tree,MANUAL_REVIEW,behavior_event_count_30d > 30.5 AND strong_relation_fraud_1hop_count <= 0.5 AND bank_fraud_ratio_max > 0.416661 AND direct_related_user_count <= 9.5,False,0.2857142857142857,0.034782608695652174,0.06201550387596899,0.007,0.2807817925458949,-0.34999287148426156,0.2807817925458949,-0.34999287148426156,15,0.0075,0.13333333333333333,0.013888888888888888,0.025157232704402517,0.007004310344827586,1.8518518518518519,0.004426799319377001,0.22683234199461255
21,TREE-ChainWithdraw-05,Decision Tree候选规则 5,tree,MANUAL_REVIEW,behavior_event_count_30d > 30.5 AND strong_relation_fraud_1hop_count <= 0.5 AND bank_fraud_ratio_max > 0.416661 AND direct_related_user_count > 9.5,False,0.17647058823529413,0.05217391304347826,0.08053691275167785,0.017,0.26250568670105207,-0.42062075598492044,0.26250568670105207,-0.42062075598492044,30,0.015,0.16666666666666666,0.034722222222222224,0.05747126436781609,0.013469827586206896,2.314814814814815,0.04110481759977676,0.2558562636168964
22,QTL-small_fiat_deposit_count_24h-15,small_fiat_deposit_count_24h分位阈值规则,quantile,MANUAL_REVIEW,small_fiat_deposit_count_24h >= 2.0,False,0.23008849557522124,0.6782608695652174,0.3436123348017621,0.1695,0.24178407611541702,-0.5006992766246353,0.24178407611541702,-0.5006992766246353,335,0.1675,0.2537313432835821,0.5902777777777778,0.35490605427974947,0.13469827586206898,3.524046434494196,0.6233430115127271,0.2298138190058428
23,TREE-ChainWithdraw-07,Decision Tree候选规则 7,tree,MANUAL_REVIEW,behavior_event_count_30d <= 30.5 AND fraud_graph_score > 0.983002 AND strong_relation_fraud_1hop_count > 2.5 AND direct_related_user_count <= 16.5,False,0.125,0.017391304347826087,0.030534351145038167,0.008,0.2291908651910283,-0.5493656530513806,0.2291908651910283,-0.5493656530513806,26,0.013,0.2692307692307692,0.04861111111111111,0.08235294117647059,0.010237068965517241,3.7393162393162394,0.046870885346833084,0.2822714235722912
24,GRF-01,强关系一跳Fraud,graph,MANUAL_REVIEW,device_fraud_1hop_count >= 1 OR withdraw_address_fraud_1hop_count >= 1 OR kyc_id_fraud_1hop_count >= 1,False,0.23478260869565218,0.7043478260869566,0.3521739130434783,0.1725,0.22461564830509734,-0.5670465470300167,0.22461564830509734,-0.5670465470300167,398,0.199,0.2663316582914573,0.7361111111111112,0.39114391143911437,0.15732758620689655,3.6990508096035737,0.7586930825827666,0.1890337826752576
25,TREE-ChainWithdraw-06,Decision Tree候选规则 6,tree,MANUAL_REVIEW,behavior_event_count_30d <= 30.5 AND fraud_graph_score <= 0.983002 AND minutes_deposit_to_first_chain_out <= 153.166786 AND fraud_graph_score > 0.891087,False,0.0,0.0,0.0,0.0045,0.20067201491385667,-0.6595765524939462,0.20067201491385667,-0.6595765524939462,4,0.002,0.0,0.0,0.0,0.0021551724137931034,0.0,0.0,0.20109092439703846
26,QTL-behavior_event_count_30d-01,behavior_event_count_30d分位阈值规则,quantile,MANUAL_REVIEW,behavior_event_count_30d >= 29.0,False,0.23357664233576642,0.8347826086956521,0.3650190114068441,0.2055,0.19118747319019253,-0.6962294983177229,0.19118747319019253,-0.6962294983177229,476,0.238,0.24789915966386555,0.8194444444444444,0.38064516129032255,0.19288793103448276,3.443043884220355,0.8219754325082376,0.10685393577776814
27,QTL-strategy_avoidance_ratio_30d-06,strategy_avoidance_ratio_30d分位阈值规则,quantile,MANUAL_REVIEW,strategy_avoidance_ratio_30d >= 0.23563552018244135,False,0.225,0.782608695652174,0.34951456310679613,0.2,0.17043034962285059,-0.7764452586293658,0.17043034962285059,-0.7764452586293658,427,0.2135,0.24355971896955503,0.7222222222222222,0.36427320490367776,0.1740301724137931,3.3827738745771536,0.7385176111528758,0.1388042695229626
28,QTL-fraud_graph_score-03,fraud_graph_score分位阈值规则,quantile,MANUAL_REVIEW,fraud_graph_score >= 0.952641075608859,False,0.21568627450980393,0.7652173913043478,0.3365200764818356,0.204,0.16519191313986153,-0.796689160148955,0.16519191313986153,-0.796689160148955,446,0.223,0.2623318385650224,0.8125,0.39661016949152544,0.17726293103448276,3.6434977578475336,0.8607829741821343,0.1587279471196673
29,QTL-community_fraud_ratio-08,community_fraud_ratio分位阈值规则,quantile,MANUAL_REVIEW,community_fraud_ratio >= 0.06666666666666667,False,0.20689655172413793,0.7304347826086957,0.32245681381957775,0.203,0.14759393260884862,-0.8646964340693972,0.14759393260884862,-0.8646964340693972,484,0.242,0.22727272727272727,0.7638888888888888,0.3503184713375796,0.20150862068965517,3.1565656565656566,0.807421689416489,0.07130241716372299
30,QTL-bank_fraud_ratio_max-12,bank_fraud_ratio_max分位阈值规则,quantile,MANUAL_REVIEW,bank_fraud_ratio_max >= 0.22493574038617029,False,0.2,0.6956521739130435,0.3106796116504854,0.2,0.1382402922730202,-0.9008435123861936,0.1382402922730202,-0.9008435123861936,408,0.204,0.24019607843137256,0.6805555555555556,0.35507246376811596,0.16702586206896552,3.3360566448801747,0.7505983374241387,0.15657702860389994
31,QTL-fiat_in_crypto_out_ratio-10,fiat_in_crypto_out_ratio分位阈值规则,quantile,MANUAL_REVIEW,fiat_in_crypto_out_ratio >= 0.5448594396077453,False,0.2025,0.7043478260869566,0.3145631067961165,0.2,0.1353129058609267,-0.91215637690763,0.1353129058609267,-0.91215637690763,429,0.2145,0.21678321678321677,0.6458333333333334,0.32460732984293195,0.1810344827586207,3.010878010878011,0.7308650294092607,0.1041206926265455
32,QTL-strong_relation_fraud_1hop_count-05,strong_relation_fraud_1hop_count分位阈值规则,quantile,MANUAL_REVIEW,strong_relation_fraud_1hop_count >= 1.0,False,0.20169851380042464,0.8260869565217391,0.3242320819112628,0.2355,0.09205712003667127,-1.0793180617390201,0.09205712003667127,-1.0793180617390201,540,0.27,0.22592592592592592,0.8472222222222222,0.3567251461988304,0.2252155172413793,3.137860082304527,0.852410083053022,0.018654322573996907
33,QTL-small_fiat_deposit_count_24h-14,small_fiat_deposit_count_24h分位阈值规则,quantile,MANUAL_REVIEW,small_fiat_deposit_count_24h >= 1.0,False,0.10405257393209201,0.8260869565217391,0.18482490272373542,0.4565,-0.5628683919612603,-3.6102731684023635,-0.5628683919612603,-3.6102731684023635,889,0.4445,0.11811023622047244,0.7291666666666666,0.20329138431752178,0.4224137931034483,1.6404199475065617,0.7614365027689215,-0.5459657426352587
